t,x,y,ang
1.36,0.001834862385321101,-0.023853211009174313,0.049140734416020175
1.4000000000000001,0.0020387359836901123,-0.02303771661569827,0.06340695196683198
1.44,0.0026503567787971457,-0.022426095820591234,0.07796663383154231
1.52,0.0026503567787971457,-0.020998980632008158,0.07796663383154231
1.6400000000000001,0.0030581039755351682,-0.018960244648318043,0.06241880999595735
1.68,0.0030581039755351682,-0.018144750254842,0.06241880999595735
1.76,0.0030581039755351682,-0.01692150866462793,0.07796663383154231
1.8,0.0030581039755351682,-0.016106014271151887,0.07796663383154231
1.84,0.0032619775739041795,-0.01529051987767584,0.07796663383154231
1.8800000000000001,0.0032619775739041795,-0.014678899082568808,0.07796663383154231
1.92,0.0032619775739041795,-0.014067278287461774,0.0791990709694515
1.96,0.003669724770642202,-0.013455657492354741,0.09347678115858947
2.04,0.003465851172273191,-0.012028542303771662,0.07796663383154231
2.08,0.003465851172273191,-0.011213047910295617,0.0791990709694515
2.12,0.0038735983690112133,-0.010601427115188583,0.09347678115858947
2.16,0.0038735983690112133,-0.00978593272171254,0.1089419569898658
2.2,0.004077471967380225,-0.009174311926605505,0.09495170634275632
2.24,0.0038735983690112133,-0.00835881753312946,0.07796663383154231
2.2800000000000002,0.004281345565749235,-0.007747196738022427,0.09347678115858947
2.36,0.004281345565749235,-0.006320081549439348,0.09495170634275632
2.4,0.004281345565749235,-0.005504587155963303,0.09495170634275632
2.44,0.004281345565749235,-0.0050968399592252805,0.09495170634275632
2.48,0.004281345565749235,-0.004689092762487259,0.09347678115858947
2.52,0.004281345565749235,-0.004281345565749235,0.11065722117389565
2.56,0.004281345565749235,-0.004281345565749235,0.09495170634275632
2.6,0.004281345565749235,-0.004281345565749235,0.11065722117389565
2.64,0.004281345565749235,-0.004077471967380225,0.1089419569898658
2.68,0.004281345565749235,-0.004281345565749235,0.11065722117389565
2.72,0.004281345565749235,-0.004281345565749235,0.11065722117389565
2.7600000000000002,0.004485219164118247,-0.004281345565749235,0.12435499454676144
2.8000000000000003,0.004281345565749235,-0.004689092762487259,0.11065722117389565
2.88,0.004281345565749235,-0.0061162079510703364,0.09347678115858947
2.92,0.004281345565749235,-0.006931702344546382,0.09347678115858947
3.04,0.0038735983690112133,-0.008766564729867482,0.1089419569898658
3.08,0.0038735983690112133,-0.009378185524974518,0.1089419569898658
3.2,0.003465851172273191,-0.01162079510703364,0.07796663383154231
3.24,0.003465851172273191,-0.012232415902140673,0.06241880999595735
3.2800000000000002,0.0032619775739041795,-0.013047910295616718,0.07796663383154231
3.3200000000000003,0.003465851172273191,-0.013863404689092765,0.09347678115858947
3.36,0.0030581039755351682,-0.014475025484199797,0.07796663383154231
3.4,0.0030581039755351682,-0.01508664627930683,0.07796663383154231
3.52,0.0030581039755351682,-0.017329255861365953,0.06241880999595735
3.84,0.0022426095820591236,-0.02283384301732926,0.07796663383154231
3.88,0.0020387359836901123,-0.023445463812436288,0.06442683942555355
6.08,0.0016309887869520897,-0.023853211009174313,0.04995839572194276
6.12,0.001834862385321101,-0.02283384301732926,0.046840712915969654
6.16,0.0026503567787971457,-0.022222222222222223,0.06241880999595735
6.24,0.0026503567787971457,-0.020998980632008158,0.0791990709694515
6.32,0.0028542303771661574,-0.019367991845056064,0.06241880999595735
6.36,0.0026503567787971457,-0.018756371049949035,0.046840712915969654
6.4,0.0026503567787971457,-0.018144750254842,0.047583103276983396
6.44,0.0030581039755351682,-0.017329255861365953,0.06241880999595735
6.5200000000000005,0.0030581039755351682,-0.015902140672782877,0.06241880999595735
6.5600000000000005,0.0030581039755351682,-0.01529051987767584,0.0791990709694515
6.6000000000000005,0.0030581039755351682,-0.01488277268093782,0.07796663383154231
6.640000000000001,0.0030581039755351682,-0.01488277268093782,0.07796663383154231
6.68,0.0030581039755351682,-0.01488277268093782,0.07796663383154231
6.72,0.0030581039755351682,-0.01488277268093782,0.07796663383154231
6.76,0.0030581039755351682,-0.01488277268093782,0.07796663383154231
6.8,0.0030581039755351682,-0.01488277268093782,0.07796663383154231
6.88,0.0030581039755351682,-0.015698267074413862,0.07796663383154231
7.08,0.0026503567787971457,-0.019164118246687054,0.07796663383154231
7.16,0.0026503567787971457,-0.020591233435270136,0.07796663383154231
7.28,0.0026503567787971457,-0.022629969418960248,0.06241880999595735
7.32,0.001834862385321101,-0.023445463812436288,0.04834938665190287
9.6,0.0014271151885830787,-0.024260958205912335,0.017239671194529696
9.64,0.001834862385321101,-0.023445463812436288,0.04834938665190287
9.68,0.0022426095820591236,-0.022629969418960248,0.046840712915969654
9.72,0.0026503567787971457,-0.0218144750254842,0.06241880999595735
9.8,0.0026503567787971457,-0.020591233435270136,0.06241880999595735
9.84,0.0026503567787971457,-0.01977573904179409,0.06241880999595735
9.92,0.0026503567787971457,-0.01855249745158002,0.0791990709694515
9.96,0.0028542303771661574,-0.017737003058103978,0.06241880999595735
10.0,0.0030581039755351682,-0.01692150866462793,0.06241880999595735
10.08,0.0030581039755351682,-0.015698267074413862,0.06241880999595735
10.120000000000001,0.0030581039755351682,-0.01488277268093782,0.06241880999595735
10.16,0.0030581039755351682,-0.014475025484199797,0.0791990709694515
10.200000000000001,0.0030581039755351682,-0.014067278287461774,0.07796663383154231
10.24,0.0030581039755351682,-0.014067278287461774,0.07796663383154231
10.28,0.0030581039755351682,-0.014067278287461774,0.07796663383154231
10.32,0.0030581039755351682,-0.014067278287461774,0.07796663383154231
10.36,0.0030581039755351682,-0.014067278287461774,0.07796663383154231
10.4,0.0030581039755351682,-0.014067278287461774,0.07796663383154231
