%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1645173509453205846,-0.005048308792134599,-0.07630001443188533,0.0,0.49982878284393956,0.5001714309563992,0.5002655999112678,0.4997339862778863
1645173509511002963,-0.0050483087921346,-0.07630001443188537,0.0,0.49982878284393933,0.5001714309563989,0.5002655999112681,0.4997339862778865
1645173509571624464,-0.005048308792134598,-0.07630001443188542,0.0,0.4998287828439391,0.5001714309563987,0.5002655999112683,0.49973398627788673
1645173509625706784,-0.005048308792134597,-0.07630001443188544,0.0,0.4998287828439389,0.5001714309563985,0.5002655999112685,0.49973398627788695
1645173509678213484,-0.005048308792134596,-0.07630001443188547,0.0,0.49982878284393867,0.5001714309563983,0.5002655999112687,0.4997339862778872
1645173509741452247,-0.005048308792134597,-0.0763000144318855,0.0,0.4998287828439385,0.500171430956398,0.500265599911269,0.49973398627788734
1645173509801422088,-0.005048308792134597,-0.07630001443188553,0.0,0.4998287828439382,0.5001714309563977,0.5002655999112693,0.4997339862778876
1645173509855908539,-0.005048308792134596,-0.07630001443188554,0.0,0.4998287828439381,0.5001714309563976,0.5002655999112694,0.4997339862778878
1645173509915042527,-0.005048308792134595,-0.07630001443188555,0.0,0.499828782843938,0.5001714309563975,0.5002655999112695,0.4997339862778879
1645173509969868254,-0.0050483087921345945,-0.07630001443188557,0.0,0.4998287828439379,0.5001714309563974,0.5002655999112696,0.499733986277888
1645173510028478428,-0.0050483087921345945,-0.07630001443188558,0.0,0.4998287828439378,0.5001714309563973,0.5002655999112697,0.4997339862778881
1645173510083661863,-0.0050483087921345945,-0.0763000144318856,0.0,0.49982878284393767,0.5001714309563972,0.5002655999112698,0.49973398627788823
1645173510137592274,-0.0050483087921345945,-0.07630001443188561,0.0,0.4998287828439376,0.500171430956397,0.50026559991127,0.4997339862778883
1645173510195480433,-0.0050483087921345945,-0.07630001443188562,0.0,0.49982878284393756,0.500171430956397,0.50026559991127,0.49973398627788834
1645173510252533297,-0.0050483087921345945,-0.07630001443188564,0.0,0.4998287828439375,0.5001714309563969,0.5002655999112701,0.4997339862778884
1645173510315020609,-0.0050483087921345945,-0.07630001443188565,0.0,0.49982878284393745,0.5001714309563969,0.5002655999112701,0.49973398627788845
1645173510365980885,-0.0050483087921345945,-0.07630001443188567,0.0,0.4998287828439374,0.5001714309563968,0.5002655999112702,0.4997339862778885
1645173510423173135,-0.0050483087921345945,-0.07630001443188568,0.0,0.49982878284393717,0.5001714309563966,0.5002655999112704,0.49973398627788873
1645173510481128624,-0.005048308792134595,-0.07630001443188568,0.0,0.49982878284393717,0.5001714309563966,0.5002655999112704,0.49973398627788873
1645173510540770548,-0.005048308792134596,-0.07630001443188568,0.0,0.49982878284393717,0.5001714309563966,0.5002655999112704,0.49973398627788873
1645173510610836301,-0.004470723754731138,-0.07629964087073138,2.1997010546261975e-09,0.50297886021491,0.49701063380551824,0.4970986844256338,0.5028773150614817
1645173510674917464,-0.004458870375638762,-0.07621427821767993,4.892068514231492e-09,0.5040035499979795,0.49597224680789875,0.4960602209155653,0.5039009914764538
1645173510734641223,-0.004445567488658566,-0.07603732591270862,7.3481321512695425e-09,0.5049383515389022,0.49501965583576746,0.49510912917267097,0.5048363613006568
1645173510793252426,-0.00443056150827663,-0.07578419302304343,9.727780510875209e-09,0.5057501607948937,0.49418808683487303,0.4942802559794148,0.5056500155595218
1645173510850974900,-0.004413476962700744,-0.07546282915959122,1.2018762913621984e-08,0.506462497852777,0.4934551202700628,0.4935506898403997,0.5063649860585174
1645173510907194525,-0.004394945268260584,-0.07508851719223188,1.412750779531788e-08,0.5070399990803034,0.4928583881515808,0.49295767847286076,0.5069455353348251
1645173510960195104,-0.004374093158417969,-0.07467060228741405,1.6205132625118965e-08,0.5075764373758558,0.49230230070434133,0.4924055510998873,0.5074853477570123
1645173511013426128,-0.004350354320016955,-0.07420645036076431,1.8237014931097282e-08,0.5080922145710004,0.49176614677372654,0.4918735141494242,0.5080047287751834
1645173511066791470,-0.004324914143105134,-0.07370694548552405,2.0127403488727798e-08,0.5085304850363035,0.491309469377673,0.49142053946690273,0.5084462650847409
1645173511128337061,-0.004297430093251709,-0.07317323985597136,2.1922350430161184e-08,0.5089289675012634,0.4908935299811322,0.49100796539415176,0.508847743613205
1645173511188859032,-0.004267629981988765,-0.07260716689448528,2.3637532704718663e-08,0.5093041950622619,0.4905013919189852,0.49061883506269865,0.5092256671646015
1645173511242359472,-0.004233904319493857,-0.07200465337751667,2.5316471182471227e-08,0.5097104888447157,0.49007710705769536,0.4901967916792623,0.5096339393397896
1645173511304259101,-0.004198079489330339,-0.07137046283068091,2.6927332140895186e-08,0.5100694884970991,0.48970152123766436,0.48982328260469726,0.5099947929343761
1645173511352164809,-0.004162725692600786,-0.07071303396429976,2.8472267959867272e-08,0.5103239903556316,0.48943451575341296,0.48955816838641736,0.5102509964937422
1645173511424094807,-0.004125347011411822,-0.07003591818026454,2.993946044037534e-08,0.5105797406203376,0.4891664883758336,0.4892914679905483,0.5105079181264203
1645173511480233749,-0.004085877898545932,-0.06934394507468973,3.13440436037872e-08,0.5108421075621359,0.4888919347366755,0.4890175736075033,0.5107708194424665
1645173511534322858,-0.004046953571912213,-0.06862393590257948,3.264187021145009e-08,0.5110185992107994,0.48870674289920907,0.4888331640505684,0.5109479899459257
1645173511583701976,-0.004002843237972019,-0.06787191973710234,3.376572377173199e-08,0.5112519136435434,0.4884625292373552,0.4885891627448953,0.5111814436920572
